""	"construct"	"read_pattern"	"expected_neg"	"slide name"	"class"	"segment"	"area"	"region"	"pathology"	"nuclei"
"DSP-1001250007868-B-B03.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"PanCK"	52.76	"glomerulus"	"NA"	19292
"DSP-1001250007868-B-B04.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"neg"	10149.05	"glomerulus"	"NA"	16665
"DSP-1001250007868-B-B05.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"WT1"	1123.44	"glomerulus"	"NA"	14451
"DSP-1001250007868-B-B06.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"neg"	10559.93	"glomerulus"	"NA"	18844
"DSP-1001250007868-B-B07.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"WT1"	209.12	"glomerulus"	"NA"	15531
"DSP-1001250007868-B-B08.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"neg"	8141.33	"glomerulus"	"NA"	17891
"DSP-1001250007868-B-B09.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"WT1"	384.82	"glomerulus"	"NA"	15854
"DSP-1001250007868-B-B10.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"PanCK"	22.7	"glomerulus"	"NA"	14169
"DSP-1001250007868-B-B11.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"neg"	16508.89	"glomerulus"	"NA"	17271
"DSP-1001250007868-B-B12.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"WT1"	9.43	"glomerulus"	"NA"	14329
"DSP-1001250007868-B-C01.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"PanCK"	11634.61	"tubule"	"NA"	19992
"DSP-1001250007868-B-C02.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"neg"	74251.72	"tubule"	"NA"	16750
"DSP-1001250007868-B-C03.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"PanCK"	17370.78	"tubule"	"NA"	15050
"DSP-1001250007868-B-C04.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"neg"	81639.25	"tubule"	"NA"	18258
"DSP-1001250007868-B-C05.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"PanCK"	10375.91	"tubule"	"NA"	14943
"DSP-1001250007868-B-C06.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"neg"	73735.65	"tubule"	"NA"	17083
"DSP-1001250007868-B-C07.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"PanCK"	6450.01	"tubule"	"NA"	15971
"DSP-1001250007868-B-C08.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"neg"	68227.62	"tubule"	"NA"	18747
"DSP-1001250007868-B-C09.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"PanCK"	12227.75	"tubule"	"NA"	16334
"DSP-1001250007868-B-C10.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"neg"	78998.74	"tubule"	"NA"	15377
"DSP-1001250007868-B-C11.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"PanCK"	10457.45	"tubule"	"NA"	17082
"DSP-1001250007868-B-C12.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"neg"	46423.18	"tubule"	"NA"	15195
"DSP-1001250007868-B-D01.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"Geometric Segment"	23068.74	"glomerulus"	"normal"	18978
"DSP-1001250007868-B-D02.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"Geometric Segment"	23724.39	"glomerulus"	"normal"	17998
"DSP-1001250007868-B-D03.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"Geometric Segment"	15825.42	"glomerulus"	"normal"	14388
"DSP-1001250007868-B-D04.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"Geometric Segment"	23053.23	"glomerulus"	"normal"	16508
"DSP-1001250007868-B-D05.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"Geometric Segment"	18840.2	"glomerulus"	"normal"	17656
"DSP-1001250007868-B-D06.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"Geometric Segment"	15928.86	"glomerulus"	"normal"	15931
"DSP-1001250007868-B-D07.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"Geometric Segment"	24020	"glomerulus"	"abnormal"	14433
"DSP-1001250007868-B-D08.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"Geometric Segment"	30831.81	"glomerulus"	"abnormal"	15162
"DSP-1001250007868-B-D09.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"Geometric Segment"	25241.13	"glomerulus"	"abnormal"	19546
"DSP-1001250007868-B-D10.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"Geometric Segment"	20817.85	"glomerulus"	"abnormal"	16483
"DSP-1001250007868-B-D11.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"Geometric Segment"	37763.21	"glomerulus"	"abnormal"	16419
"DSP-1001250007868-B-D12.dcc"	"directPCR"	"2x27"	0	"disease2B"	"DKD"	"Geometric Segment"	35559.96	"glomerulus"	"abnormal"	14548
"DSP-1002510007866-C-C09.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"WT1"	1991.73	"glomerulus"	"NA"	15311
"DSP-1002510007866-C-C10.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"neg"	12809.38	"glomerulus"	"NA"	18686
"DSP-1002510007866-C-C11.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"WT1"	3312.62	"glomerulus"	"NA"	16638
"DSP-1002510007866-C-C12.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"neg"	15128.85	"glomerulus"	"NA"	14775
"DSP-1002510007866-C-D01.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"WT1"	4349.09	"glomerulus"	"NA"	14057
"DSP-1002510007866-C-D02.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"neg"	7944.05	"glomerulus"	"NA"	19390
"DSP-1002510007866-C-D03.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"WT1"	2978	"glomerulus"	"NA"	19827
"DSP-1002510007866-C-D04.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"neg"	15076.25	"glomerulus"	"NA"	17053
"DSP-1002510007866-C-D05.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"WT1"	3414.94	"glomerulus"	"NA"	17989
"DSP-1002510007866-C-D06.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"neg"	9172.69	"glomerulus"	"NA"	18303
"DSP-1002510007866-C-D07.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"WT1"	3503.03	"glomerulus"	"NA"	19009
"DSP-1002510007866-C-D08.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"PanCK"	27.5	"glomerulus"	"NA"	15405
"DSP-1002510007866-C-D09.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"neg"	18300.46	"glomerulus"	"NA"	18551
"DSP-1002510007866-C-D10.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"PanCK"	8313.84	"tubule"	"NA"	15036
"DSP-1002510007866-C-D11.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"neg"	96174.64	"tubule"	"NA"	14842
"DSP-1002510007866-C-D12.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"PanCK"	6364.16	"tubule"	"NA"	19591
"DSP-1002510007866-C-E01.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"neg"	60662.64	"tubule"	"NA"	15650
"DSP-1002510007866-C-E02.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"PanCK"	21252.87	"tubule"	"NA"	14816
"DSP-1002510007866-C-E03.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"neg"	85405.91	"tubule"	"NA"	17710
"DSP-1002510007866-C-E04.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"PanCK"	7349.79	"tubule"	"NA"	16532
"DSP-1002510007866-C-E05.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"neg"	66892.02	"tubule"	"NA"	17795
"DSP-1002510007866-C-E06.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"PanCK"	11468.34	"tubule"	"NA"	14811
"DSP-1002510007866-C-E07.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"neg"	118494.68	"tubule"	"NA"	17368
"DSP-1002510007866-C-E08.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"PanCK"	12457.97	"tubule"	"NA"	16482
"DSP-1002510007866-C-E09.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"neg"	160617.85	"tubule"	"NA"	15907
"DSP-1002510007866-C-E10.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"Geometric Segment"	24103.13	"glomerulus"	"normal"	16303
"DSP-1002510007866-C-E11.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"Geometric Segment"	25156.07	"glomerulus"	"normal"	14274
"DSP-1002510007866-C-E12.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"Geometric Segment"	22744.19	"glomerulus"	"normal"	15585
"DSP-1002510007866-C-F01.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"Geometric Segment"	25428.34	"glomerulus"	"normal"	19903
"DSP-1002510007866-C-F02.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"Geometric Segment"	23616.15	"glomerulus"	"normal"	15985
"DSP-1002510007866-C-F03.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"Geometric Segment"	19466.75	"glomerulus"	"normal"	15718
"DSP-1002510007866-C-F04.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"Geometric Segment"	26072	"glomerulus"	"abnormal"	15551
"DSP-1002510007866-C-F05.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"Geometric Segment"	17504.12	"glomerulus"	"abnormal"	14029
"DSP-1002510007866-C-F06.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"Geometric Segment"	14347.54	"glomerulus"	"abnormal"	19048
"DSP-1002510007866-C-F07.dcc"	"directPCR"	"2x27"	0	"normal2B"	"normal"	"Geometric Segment"	18453.14	"glomerulus"	"abnormal"	15210
"DSP-1002510007866-C-F08.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"WT1"	3799.6	"glomerulus"	"NA"	19109
"DSP-1002510007866-C-F09.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"neg"	26172.88	"glomerulus"	"NA"	15376
"DSP-1002510007866-C-F10.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"WT1"	1719.94	"glomerulus"	"NA"	16284
"DSP-1002510007866-C-F11.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"neg"	13256.55	"glomerulus"	"NA"	17971
"DSP-1002510007866-C-F12.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"WT1"	2301.89	"glomerulus"	"NA"	14721
"DSP-1002510007866-C-G01.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"neg"	15630.22	"glomerulus"	"NA"	17604
"DSP-1002510007866-C-G02.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"WT1"	5282.12	"glomerulus"	"NA"	14743
"DSP-1002510007866-C-G03.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"PanCK"	19.98	"glomerulus"	"NA"	18236
"DSP-1002510007866-C-G04.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"neg"	4179.94	"glomerulus"	"NA"	16683
"DSP-1002510007866-C-G05.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"WT1"	8.15	"glomerulus"	"NA"	16946
"DSP-1002510007866-C-G06.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"neg"	19068.82	"glomerulus"	"NA"	16136
"DSP-1002510007866-C-G07.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"WT1"	3236.52	"glomerulus"	"NA"	14732
"DSP-1002510007866-C-G08.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"neg"	8186.42	"glomerulus"	"NA"	14553
"DSP-1002510007866-C-G09.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"WT1"	15.99	"tubule"	"NA"	16319
"DSP-1002510007866-C-G10.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"PanCK"	11510.39	"tubule"	"NA"	14657
"DSP-1002510007866-C-G11.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"neg"	61035.47	"tubule"	"NA"	18532
"DSP-1002510007866-C-G12.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"PanCK"	10672.48	"tubule"	"NA"	16333
"DSP-1002510007866-C-H01.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"neg"	70102.8	"tubule"	"NA"	19997
"DSP-1002510007866-C-H02.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"WT1"	52.12	"tubule"	"NA"	17576
"DSP-1002510007866-C-H03.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"PanCK"	15331.41	"tubule"	"NA"	19282
"DSP-1002510007866-C-H04.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"neg"	120199.59	"tubule"	"NA"	16820
"DSP-1002510007866-C-H05.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"PanCK"	24825.61	"tubule"	"NA"	14435
"DSP-1002510007866-C-H06.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"neg"	184639.44	"tubule"	"NA"	16474
"DSP-1002510007866-C-H07.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"PanCK"	8595.7	"tubule"	"NA"	16447
"DSP-1002510007866-C-H08.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"neg"	67263.41	"tubule"	"NA"	14416
"DSP-1002510007866-C-H09.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"PanCK"	9549.2	"tubule"	"NA"	15899
"DSP-1002510007866-C-H10.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"neg"	67032.55	"tubule"	"NA"	19722
"DSP-1002510007866-C-H11.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"Geometric Segment"	17039.36	"glomerulus"	"normal"	19577
"DSP-1002510007866-C-H12.dcc"	"directPCR"	"2x27"	0	"disease1B"	"DKD"	"Geometric Segment"	21155.03	"glomerulus"	"niormal"	17678
